[2019-09-24 09:23:28,556][default:INFO(310)]--[errorcode]:			error("EOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 09:23:28,557][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,557][default:INFO(310)]--[errorcode]:			warn("WOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 09:23:28,557][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,557][default:INFO(310)]--[errorcode]:			succ("SOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 09:23:28,558][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,558][default:INFO(310)]--[errorcode]:			info("IOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 09:23:28,558][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,558][default:INFO(310)]--[errorcode]:		succ("SOSCSGL025");

[2019-09-24 09:23:28,558][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,558][default:INFO(310)]--[errorcode]:			error("EOSCSGL022");

[2019-09-24 09:23:28,559][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,559][default:INFO(310)]--[errorcode]:		succ("SOSCSGL026");

[2019-09-24 09:23:28,619][default:INFO(480)]--[errorcode]:将新生成的错误码信息写入文件作为变更的脚本...
[2019-09-24 09:23:28,620][default:INFO(395)]--[errorcode]:update SC_CODE_COUNT
[2019-09-24 09:23:28,625][default:INFO(497)]--[errorcode]:导出数据库文件...
[2019-09-24 09:25:47,695][default:INFO(466)]--[errorcode]:开始对***00000错误码进行编码
[2019-09-24 09:25:47,697][default:INFO(467)]--[errorcode]:读取存量错误码信息
[2019-09-24 09:25:47,700][default:INFO(472)]--[errorcode]:扫描文件信息
[2019-09-24 09:25:47,700][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:25:47,700][default:INFO(310)]--[errorcode]:		succ("SOSCSGL021");

[2019-09-24 09:25:47,701][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:25:47,701][default:INFO(310)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:25:47,701][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:25:47,701][default:INFO(328)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:25:47,701][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:25:47,701][default:INFO(310)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:25:47,702][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:25:47,702][default:INFO(328)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:25:47,702][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:25:47,702][default:INFO(310)]--[errorcode]:		succ("SOSCSGL023");

[2019-09-24 09:25:47,703][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:25:47,703][default:INFO(310)]--[errorcode]:		succ("SOSCSGL024");

[2019-09-24 09:25:47,703][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:25:47,703][default:INFO(310)]--[errorcode]:			error("EOSCSGL021");

[2019-09-24 09:26:17,268][default:INFO(94)]--[master]:src:/Users/wan/Documents/spring/1
[2019-09-24 09:26:28,571][default:INFO(108)]--[master]:dest:/Users/wan/Documents/spring/xx
[2019-09-24 09:26:29,616][default:INFO(466)]--[errorcode]:开始对***00000错误码进行编码
[2019-09-24 09:26:29,616][default:INFO(467)]--[errorcode]:读取存量错误码信息
[2019-09-24 09:26:29,619][default:INFO(472)]--[errorcode]:扫描文件信息
[2019-09-24 09:26:29,620][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:26:29,620][default:INFO(310)]--[errorcode]:		succ("SOSCSGL021");

[2019-09-24 09:26:29,621][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:26:29,621][default:INFO(310)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:26:29,622][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:26:29,623][default:INFO(328)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:26:29,623][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:26:29,623][default:INFO(310)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:26:29,623][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:26:29,623][default:INFO(328)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:26:29,623][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:26:29,623][default:INFO(310)]--[errorcode]:		succ("SOSCSGL023");

[2019-09-24 09:26:29,624][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:26:29,624][default:INFO(310)]--[errorcode]:		succ("SOSCSGL024");

